3 970.99,2023-03-26 13:33:36
3 970.99,2023-03-26 13:54:02
3 970.99,2023-03-26 13:56:02
3 970.99,2023-03-26 14:00:01
3 970.99,2023-03-26 16:05:01
3 970.99,2023-03-26 16:10:02
3 970.99,2023-03-26 16:15:01
3 970.99,2023-03-26 16:20:01
3 970.99,2023-03-26 16:25:01
3 970.99,2023-03-26 16:30:02
3 970.99,2023-03-26 16:35:02
3 970.99,2023-03-26 16:40:01
3 970.99,2023-03-26 16:45:02
3 970.99,2023-03-26 16:50:02
3 970.99,2023-03-26 16:55:01
3 970.99,2023-03-26 17:00:02
3 970.99,2023-03-26 17:05:01
3 970.99,2023-03-26 17:10:02
3 970.99,2023-03-26 17:15:02
3 970.99,2023-03-26 17:20:02
3 970.99,2023-03-26 17:25:02
3 970.99,2023-03-26 17:30:02
3 970.99,2023-03-26 17:35:02
3 970.99,2023-03-26 17:40:02
3 970.99,2023-03-26 17:45:01
3 970.99,2023-03-26 17:50:01
3 970.99,2023-03-26 17:55:02
3 970.99,2023-03-26 18:00:02
3 970.99,2023-03-26 18:01:02
3 970.99,2023-03-26 18:02:01
3 970.99,2023-03-26 18:03:01
3 970.99,2023-03-26 18:04:02
3 970.99,2023-03-26 18:05:02
3 970.99,2023-03-26 18:06:01
3 970.99,2023-03-26 18:07:01
3 970.99,2023-03-26 18:08:02
3 970.99,2023-03-26 18:09:01
3 970.99,2023-03-26 18:10:02
3 970.99,2023-03-26 18:11:02
3 970.99,2023-03-26 18:12:01
3 970.99,2023-03-26 18:13:02
3 970.99,2023-03-26 18:14:02
3 970.99,2023-03-26 18:15:02
3 970.99,2023-03-26 18:16:02
3 970.99,2023-03-26 18:17:02
3 970.99,2023-03-26 18:18:02
3 970.99,2023-03-26 18:19:02
3 970.99,2023-03-26 18:20:02
3 970.99,2023-03-26 18:21:01
3 970.99,2023-03-26 18:22:01
3 970.99,2023-03-26 18:23:02
3 970.99,2023-03-26 18:24:01
3 970.99,2023-03-26 18:25:02
3 970.99,2023-03-26 18:26:01
3 970.99,2023-03-26 18:27:02
3 970.99,2023-03-26 18:28:01
3 970.99,2023-03-26 18:29:01
3 970.99,2023-03-26 18:30:02
3 970.99,2023-03-26 18:31:02
3 970.99,2023-03-26 18:32:01
3 970.99,2023-03-26 18:33:02
3 970.99,2023-03-26 18:34:01
3 970.99,2023-03-26 18:35:02
3 970.99,2023-03-26 18:36:01
3 970.99,2023-03-26 18:37:01
3 970.99,2023-03-26 18:38:01
3 970.99,2023-03-26 18:39:02
3 970.99,2023-03-26 18:40:02
3 970.99,2023-03-26 18:41:02
3 970.99,2023-03-26 18:42:01
3 970.99,2023-03-26 18:43:01
3 970.99,2023-03-26 18:44:02
3 970.99,2023-03-26 18:45:02
3 970.99,2023-03-26 18:46:01
3 970.99,2023-03-26 18:47:01
3 970.99,2023-03-26 18:48:02
3 970.99,2023-03-26 18:49:01
3 970.99,2023-03-26 18:50:02
3 970.99,2023-03-26 18:51:01
3 970.99,2023-03-26 18:52:01
3 970.99,2023-03-26 18:53:02
3 970.99,2023-03-26 18:54:01
3 970.99,2023-03-26 18:55:01
3 970.99,2023-03-26 18:56:01
3 970.99,2023-03-26 18:57:02
3 970.99,2023-03-26 18:58:01
3 970.99,2023-03-26 18:59:01
3 970.99,2023-03-26 19:00:02
